,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,Unnamed: 36,Unnamed: 37,Unnamed: 38,mask
138,112,150.1369892,0.0732,-54.81474374,0.0567,5.26018e+18,0.115,0.0733,-6.209,0.139,2.004,0.103,0,3335.2,3.3774,16.8806,0.0011,1520.4,7.1392,17.3965,0.0051,2856.7,7.8037,16.1223,0.003,1.2742,,,4892.67,,,,,IN,2,,,50.26548246,0
51,48,150.1615743,0.0324,-54.81359236,0.0296,5.26018e+18,0.2873,0.0381,-7.221,0.066,2.466,0.057,0,9146.9,4.7965,15.7852,0.0006,2793.4,15.689,16.7361,0.0061,9798.6,20.326,14.784,0.0023,1.9521,,,3857.83,1.845,0.8825,,,IN,1,,,,0
134,77,150.1281855,0.0844,-54.81248102,0.0789,5.26018e+18,0.1155,0.0972,-4.738,0.173,3.493,0.152,0,2180.2,1.8465,17.3421,0.0009,539.52,9.6389,18.5214,0.0194,2624.2,9.541,16.2144,0.0039,2.3069,,,,,,,,IN,2,,,,0
133,0,150.2092775,0.0783,-54.81138384,0.0725,5.26018e+18,0.2056,0.0927,-4.727,0.156,3.745,0.133,0,1938.7,2.0971,17.4696,0.0012,791.07,8.7131,18.1059,0.012,1980.1,11.632,16.5202,0.0064,1.5856,,,,,,,,IN,2,,,,0
132,212,150.1949173,0.0625,-54.80918328,0.0524,5.26018e+18,0.4463,0.0681,-6.413,0.119,3.465,0.1,0,3338.6,2.1766,16.8795,0.0007,1552.1,11.614,17.3741,0.0081,2609.8,11.944,16.2204,0.005,1.1537,,,4940.0,0.704,0.352,,,IN,2,,,,0
19,107,150.1467245,0.0383,-54.80762767,0.0347,5.26018e+18,0.0746,0.0444,-4.126,0.073,2.697,0.062,0,9008.3,5.9851,15.8018,0.0007,3980.4,12.131,16.3516,0.0033,7667.7,14.202,15.0503,0.002,1.3013,,,4889.5,,,,,IN,1,,,,0
7,208,150.1851027,0.0342,-54.80640845,0.0293,5.26018e+18,0.3783,0.0403,-6.782,0.068,5.808,0.055,0,10745.0,5.6058,15.6104,0.0006,5600.0,14.345,15.9809,0.0028,7661.4,12.65,15.0512,0.0018,0.9298,,,5292.0,,,2.1,3.11,IN,1,,,,0
53,217,150.1805822,0.0428,-54.80478227,0.0403,5.26018e+18,0.1392,0.0501,-4.159,0.088,2.836,0.078,0,6754.8,3.7828,16.1143,0.0006,2998.9,12.823,16.659,0.0046,5681.5,11.627,15.3758,0.0022,1.2832,,,4942.03,,,,,IN,1,,,,0
18,108,150.1398916,0.0456,-54.80334925,0.0424,5.26018e+18,0.174,0.0525,-7.01,0.093,4.148,0.083,0,5672.8,4.0763,16.3039,0.0008,2416.5,41.646,16.8934,0.0187,5422.4,48.915,15.4264,0.0098,1.467,,,4467.5,,,,,IN,1,,,,0
192,101,150.137507,0.113,-54.80176606,0.1069,5.26018e+18,0.3917,0.1318,-4.444,0.228,2.332,0.202,0,1286.4,1.5762,17.915,0.0013,461.35,8.0682,18.6913,0.019,1315.8,9.2795,16.9639,0.0077,1.7274,,,,,,,,IN,3,,,,0
124,171,150.1669428,0.0597,-54.79961951,0.0637,5.26018e+18,0.086,0.0743,-3.879,0.124,2.884,0.121,0,3720.4,2.6179,16.7619,0.0008,1760.7,11.485,17.2372,0.0071,3342.6,21.383,15.9517,0.0069,1.2854,,,4665.24,,,,,IN,2,,,,0
24,211,150.1716574,0.0193,-54.79810901,0.0171,5.26018e+18,0.3378,0.0219,-5.701,0.04,1.766,0.035,0,80458.0,20.623,13.4244,0.0003,53214.0,81.411,13.5363,0.0017,42808.0,31.788,13.1831,0.0008,0.3532,,,8187.0,,,,,IN,1,,,,0
29,129,150.1408832,0.2209,-54.79662335,0.2318,5.26018e+18,0.4278,0.2804,-8.44,0.485,2.89,0.458,0,18128.0,52.812,15.0425,0.0032,6321.4,16.291,15.8494,0.0028,20149.0,35.181,14.0013,0.0019,1.8481,,,4062.5,,,,,IN,1,,,,0
2,216,150.1606586,0.0712,-54.7951176,0.0667,5.26018e+18,0.1579,0.0846,-4.208,0.146,2.605,0.131,0,18520.0,10.042,15.0192,0.0006,8585.5,11.927,15.517,0.0015,15263.0,25.734,14.3028,0.0018,1.2141,,,4884.0,,,,,IN,1,,,,0
1,268,150.1717755,0.0317,-54.79349337,0.0302,5.26018e+18,0.0802,0.0368,-4.203,0.066,2.875,0.057,0,305180.0,115.38,11.977,0.0004,54648.0,193.98,13.5075,0.0039,397890.0,538.01,10.7625,0.0015,2.745,,,4094.04,,,,,IN,1,,,,0
111,150,150.1655869,0.0619,-54.79220819,0.0661,5.26018e+18,0.1116,0.0796,-4.448,0.125,2.503,0.113,0,3217.0,2.8362,16.9197,0.001,1459.1,13.865,17.4412,0.0103,2865.6,23.761,16.1189,0.009,1.3223,,,4760.0,,,,,IN,2,,,,0
4,388,150.1619991,0.0218,-54.79042247,0.0219,5.26018e+18,0.1183,0.0263,-4.067,0.045,2.624,0.041,1,23040.0,10.925,14.7822,0.0005,10746.0,18.919,15.2733,0.0019,19018.0,26.195,14.064,0.0015,1.2092,,,4893.5,,,,,IN,1,,,,0
318,349,150.1546836,0.2011,-54.78899402,0.1789,5.26018e+18,0.033,0.2222,-7.174,0.439,1.661,0.356,0,638.83,1.5034,18.6749,0.0026,375.93,14.389,18.9136,0.0416,989.39,18.417,17.2735,0.0202,1.6401,,,,,,,,IN,5,,,,0
42,234,150.1698138,0.0228,-54.78741631,0.0228,5.26018e+18,0.0937,0.0267,-4.271,0.047,2.75,0.042,0,21225.0,6.8748,14.8713,0.0004,9659.6,14.827,15.389,0.0017,17467.0,19.789,14.1564,0.0012,1.2326,,,4907.5,,,,,IN,1,,,,0
68,224,150.1840603,0.0324,-54.7861272,0.0325,5.26018e+18,1.0346,0.0392,-6.568,0.068,6.41,0.062,0,8645.0,5.3319,15.8465,0.0007,4217.3,34.287,16.2888,0.0088,8535.6,130.9,14.9338,0.0167,1.355,,,4595.73,,,0.99,0.395,IN,1,,,,0
5,385,150.1560032,0.0235,-54.7849294,0.024,5.26018e+18,0.4665,0.0282,-5.883,0.048,4.607,0.044,0,18831.0,6.6885,15.0012,0.0004,9847.8,16.587,15.368,0.0018,13428.0,20.785,14.4419,0.0017,0.9261,,,5317.38,,,2.23,3.571,IN,1,,,,0
23,241,150.1883174,0.0265,-54.78362438,0.0251,5.26018e+18,0.0832,0.031,-4.19,0.057,2.767,0.049,0,310030.0,69.997,11.9599,0.0002,126930.0,162.24,12.5925,0.0014,275170.0,308.2,11.1629,0.0012,1.4296,,,4405.33,,,,,IN,1,,,,0
10,176,150.1772524,0.031,-54.78234847,0.0299,5.26018e+18,0.0768,0.0367,-4.16,0.066,2.697,0.057,0,10006.0,9.1385,15.6877,0.001,4721.4,24.231,16.1662,0.0056,8708.6,38.861,14.912,0.0048,1.2542,,,4820.41,,,,,IN,1,,,,0
229,172,150.1737401,0.1745,-54.78066657,0.1766,5.26018e+18,0.1593,0.2084,-4.254,0.42,3.033,0.364,0,675.7,1.7725,18.614,0.0028,373.38,27.397,18.921,0.0797,709.72,4.2649,17.6342,0.0065,1.2868,,,,,,,,IN,4,,,,0
41,121,150.1283561,0.0342,-54.77937226,0.0354,5.26018e+18,0.1694,0.0419,-4.036,0.07,2.807,0.063,0,7914.0,6.0653,15.9424,0.0008,3690.5,25.536,16.4337,0.0075,6873.3,55.716,15.169,0.0088,1.2647,,,4822.0,,,,,IN,1,,,,0
66,364,150.1366607,0.3906,-54.77801892,0.3336,5.26018e+18,1.5325,0.4523,-5.198,0.918,5.893,0.671,1,28351.0,193.98,14.5569,0.0074,14267.0,31.198,14.9656,0.0024,31562.0,73.642,13.514,0.0025,1.4516,,,4819.07,,,,,IN,1,,,,0
8,403,150.1550989,0.0243,-54.77695235,0.0226,5.26018e+18,0.0653,0.0273,-4.273,0.05,2.69,0.041,0,20732.0,7.9351,14.8968,0.0004,9590.8,14.469,15.3967,0.0016,16696.0,15.17,14.2054,0.001,1.1914,,,4851.0,,,,,IN,1,,,,0
28,299,150.1837245,0.0243,-54.77525877,0.0246,5.26018e+18,0.4316,0.0285,-7.144,0.054,5.301,0.049,0,19953.0,6.3768,14.9383,0.0003,10864.0,17.444,15.2614,0.0017,13406.0,16.349,14.4436,0.0013,0.8178,,,5748.5,,,2.08,4.238,IN,1,,,,0
38,292,150.2037819,0.0414,-54.77328007,0.0399,5.26018e+18,1.3713,0.0487,-0.866,0.089,2.457,0.075,0,6499.2,4.8188,16.1562,0.0008,2578.7,8.8296,16.8229,0.0037,5687.4,11.351,15.3746,0.0022,1.4483,,,4536.78,0.4038,0.1885,0.67,0.173,IN,1,,,,0
30,316,150.1933015,0.0225,-54.77196721,0.0196,5.26018e+18,0.4059,0.0239,-7.206,0.048,4.27,0.037,0,28739.0,8.4408,14.5422,0.0003,16248.0,21.849,14.8244,0.0015,18526.0,17.328,14.0924,0.001,0.7319,,,5923.76,,,2.48,6.835,IN,1,,,,0
215,340,150.156675,0.1314,-54.77063559,0.1283,5.26018e+18,0.3145,0.1571,-4.318,0.292,2.804,0.255,0,962.68,1.6645,18.2297,0.0019,428.0,12.009,18.7728,0.0305,868.02,12.237,17.4156,0.0153,1.3572,,,,,,,,IN,4,,,,0
20,408,150.1427298,0.016,-54.76908636,0.0159,5.26018e+18,0.0988,0.0191,-3.745,0.033,2.882,0.03,0,74200.0,70.028,13.5124,0.001,29071.0,73.977,14.1927,0.0028,68399.0,165.98,12.6743,0.0026,1.5184,,,4330.5,0.4687,0.2173,,,IN,1,,,,0
69,312,150.1902807,0.0704,-54.76782962,0.0674,5.26018e+18,0.0917,0.0791,-4.799,0.144,3.295,0.126,0,2243.2,1.8723,17.3112,0.0009,867.26,9.6069,18.006,0.012,2196.6,9.2477,16.4076,0.0046,1.5985,,,,,,,,IN,2,,,,0
60,448,150.1696395,0.0411,-54.76637066,0.0371,5.26018e+18,0.1385,0.0474,-6.551,0.087,4.094,0.074,0,6696.9,4.1931,16.1237,0.0007,2776.9,9.6235,16.7425,0.0038,5809.1,13.991,15.3517,0.0026,1.3908,,,4742.0,,,,,IN,1,,,,0
